Element,X,Y,Z
C,3.52299160,2.03400020,8.60829250
C,2.61486020,3.11626910,8.60829250
C,0.70640080,4.00619830,9.83804860
C,0.00000000,4.06800040,8.60829250
C,-1.39133810,3.82266990,8.60829250
C,-3.11626910,2.61486020,9.83804860
C,-3.52299160,2.03400020,8.60829250
C,-4.00619830,0.70640080,8.60829250
C,-3.82266990,-1.39133810,9.83804860
C,-3.52299160,-2.03400020,8.60829250
C,-2.61486020,-3.11626910,8.60829250
C,-0.70640080,-4.00619830,9.83804860
C,0.00000000,-4.06800040,8.60829250
C,1.39133810,-3.82266990,8.60829250
C,3.11626910,-2.61486020,9.83804860
C,3.52299160,-2.03400020,8.60829250
C,4.00619830,-0.70640080,8.60829250
C,4.06800040,0.00000000,9.83804860
C,3.82266990,1.39133810,9.83804860
C,3.52299160,2.03400020,11.06780470
C,2.61486020,3.11626910,11.06780470
C,2.03400020,3.52299160,9.83804860
C,0.70640080,4.00619830,12.29756070
C,0.00000000,4.06800040,11.06780470
C,-1.39133810,3.82266990,11.06780470
C,-2.03400020,3.52299160,9.83804860
C,-3.11626910,2.61486020,12.29756070
C,-3.52299160,2.03400020,11.06780470
C,-4.00619830,0.70640080,11.06780470
C,-4.06800040,0.00000000,9.83804860
C,-3.82266990,-1.39133810,12.29756070
C,-3.52299160,-2.03400020,11.06780470
C,-2.61486020,-3.11626910,11.06780470
C,-2.03400020,-3.52299160,9.83804860
C,-0.70640080,-4.00619830,12.29756070
C,0.00000000,-4.06800040,11.06780470
C,1.39133810,-3.82266990,11.06780470
C,2.03400020,-3.52299160,9.83804860
C,3.11626910,-2.61486020,12.29756070
C,3.52299160,-2.03400020,11.06780470
C,4.00619830,-0.70640080,11.06780470
C,4.06800040,0.00000000,12.29756070
C,3.82266990,1.39133810,12.29756070
C,3.52299160,2.03400020,13.52731680
C,2.61486020,3.11626910,13.52731680
C,2.03400020,3.52299160,12.29756070
C,0.70640080,4.00619830,14.75707290
C,0.00000000,4.06800040,13.52731680
C,-1.39133810,3.82266990,13.52731680
C,-2.03400020,3.52299160,12.29756070
C,-3.11626910,2.61486020,14.75707290
C,-3.52299160,2.03400020,13.52731680
C,-4.00619830,0.70640080,13.52731680
C,-4.06800040,0.00000000,12.29756070
C,-3.82266990,-1.39133810,14.75707290
C,-3.52299160,-2.03400020,13.52731680
C,-2.61486020,-3.11626910,13.52731680
C,-2.03400020,-3.52299160,12.29756070
C,-0.70640080,-4.00619830,14.75707290
C,0.00000000,-4.06800040,13.52731680
C,1.39133810,-3.82266990,13.52731680
C,2.03400020,-3.52299160,12.29756070
C,3.11626910,-2.61486020,14.75707290
C,3.52299160,-2.03400020,13.52731680
C,4.00619830,-0.70640080,13.52731680
C,4.06800040,0.00000000,14.75707290
C,3.82266990,1.39133810,14.75707290
C,3.52299160,2.03400020,15.98682890
C,2.61486020,3.11626910,15.98682890
C,2.03400020,3.52299160,14.75707290
C,0.70640080,4.00619830,17.21658500
C,0.00000000,4.06800040,15.98682890
C,-1.39133810,3.82266990,15.98682890
C,-2.03400020,3.52299160,14.75707290
C,-3.11626910,2.61486020,17.21658500
C,-3.52299160,2.03400020,15.98682890
C,-4.00619830,0.70640080,15.98682890
C,-4.06800040,0.00000000,14.75707290
C,-3.82266990,-1.39133810,17.21658500
